WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,Clearing Fee,Total Charge
0,08/03/2021,DSmanik,WEX-SWEEP,s,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$5.5000
0,08/03/2021,DSmanik,WEX-SWEEP,s,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.2000
0,08/03/2021,DSmanik,WEX-SWEEP,s,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.4000
0,08/03/2021,DSmanik,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.1000
0,08/03/2021,DSmanik,WEX-SWEEP,s,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.9500
0,08/03/2021,DSmanik,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/03/2021,DSmanik,WEX-SWEEP,s,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.2000
0,08/03/2021,DSmanik,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.2500)
0,08/03/2021,DSmanik,WEX-SWEEP,s,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.48,0,$4.2400
0,08/03/2021,DSmanik,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,s,40,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.1000
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,s,29,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$1.5225
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,s,56,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.9400
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,s,28,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$1.4700
0,08/03/2021,DSmanik,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.2,0,$(0.3000)
0,08/03/2021,DSmanik,WEX-SWEEP,s,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.4200
0,08/03/2021,DSmanik,WEX-SWEEP,s,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.2000
0,08/03/2021,DSmanik,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.2,0,$(0.3000)
0,08/03/2021,DSmanik,WEX-SWEEP,b,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500)
0,08/03/2021,DSmanik,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(0.3700)
0,08/03/2021,DSmanik,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.43,0,$(0.3800)
0,08/03/2021,DSmanik,WEX-SWEEP,s,2,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,-0.01,0,$0.0800
0,08/03/2021,DSmanik,WEX-SWEEP,s,18,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.9000
0,08/03/2021,DSmanik,WEX-SWEEP,s,16,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.8000
0,08/03/2021,DSmanik,WEX-SWEEP,s,4,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.2000
0,08/03/2021,DSmanik,WEX-SWEEP,s,10,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.5000
0,08/03/2021,DSmanik,WEX-SWEEP,s,47,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$2.3500
0,08/03/2021,DSmanik,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.2500)
0,08/05/2021,DSmanik,CBOE-OPT,s,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000
0,08/05/2021,DSmanik,CBOE-OPT,s,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000
0,08/05/2021,DSmanik,CBOE-OPT,s,7,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.3500
0,08/05/2021,DSmanik,CBOE-OPT,s,10,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.5000
0,08/05/2021,DSmanik,ISE-OPT,s,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500
0,08/05/2021,DSmanik,ISE-OPT,s,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500
0,08/05/2021,DSmanik,ISE-OPT,s,4,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.2000
0,08/05/2021,DSmanik,ISE-OPT,s,1,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.0500
0,08/05/2021,DSmanik,WEX-SWEEP,b,3,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000
0,08/05/2021,DSmanik,WEX-SWEEP,b,6,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$5.4000
0,08/05/2021,DSmanik,WEX-SWEEP,b,4,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.1600
0,08/05/2021,DSmanik,WEX-SWEEP,b,4,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.1600
0,08/05/2021,DSmanik,WEX-SWEEP,b,10,MYPS,MYPS,20/08/2021,$5.00,P,$0.19,DIFESA-OMNI,Per Unit,0.05,0.85,0,$9.0000
0,08/05/2021,DSmanik,WEX-SWEEP,b,2,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.1050
0,08/05/2021,DSmanik,WEX-SWEEP,b,6,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0,0,$0.3000
0,08/05/2021,DSmanik,WEX-SWEEP,b,3,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000
0,08/05/2021,DSmanik,WEX-SWEEP,b,10,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$9.0000
0,08/05/2021,DSmanik,WEX-SWEEP,b,9,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0,0,$0.4500
0,08/05/2021,DSmanik,WEX-SWEEP,b,2,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$1.8000
0,08/05/2021,DSmanik,WEX-SWEEP,b,3,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0,0,$0.1500
0,08/05/2021,DSmanik,WEX-SWEEP,b,3,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000
0,08/05/2021,DSmanik,WEX-SWEEP,b,10,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$9.0000
0,08/05/2021,DSmanik,WEX-SWEEP,b,19,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0,0,$0.9500
0,08/05/2021,DSmanik,WEX-SWEEP,b,19,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0,0,$0.9500
0,08/05/2021,DSmanik,WEX-SWEEP,b,14,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.7350
0,08/05/2021,DSmanik,WEX-SWEEP,b,14,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.7350
