User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Clearing Fee,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge
DSmanik,8/3/2021,WEX-SWEEP,BYO,5,CYXT,CYXT,2021-09-17,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,0,$(4.0500),8/3/2021,dsmanik,b,5,cyxt,cyxt,9/17/2021,7.5,p,0.35,difesa,per unit,0.05,4.05
DSmanik,8/5/2021,CBOE-OPT,SLO,12,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.6000,8/5/2021,dsmanik,s,12,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.6
DSmanik,8/5/2021,CBOE-OPT,SLO,12,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.6000,8/5/2021,dsmanik,s,12,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.6
DSmanik,8/5/2021,CBOE-OPT,SLO,7,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.3500,8/5/2021,dsmanik,s,7,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.35
DSmanik,8/5/2021,CBOE-OPT,SLO,10,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.5000,8/5/2021,dsmanik,s,10,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.5
DSmanik,8/5/2021,ISE-OPT,SLO,3,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.1500,8/5/2021,dsmanik,s,3,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.15
DSmanik,8/5/2021,ISE-OPT,SLO,3,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.1500,8/5/2021,dsmanik,s,3,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.15
DSmanik,8/5/2021,ISE-OPT,SLO,4,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.2000,8/5/2021,dsmanik,s,4,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.2
DSmanik,8/5/2021,ISE-OPT,SLO,1,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,0,$0.0500,8/5/2021,dsmanik,s,1,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.05
DSmanik,8/6/2021,ISE-OPT,BYO,50,GDX,GDX,2022-01-21,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,0,$2.5000,8/6/2021,dsmanik,b,50,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.5
