Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500),8/3/2021,dsmanik,b,5,cyxt,cyxt,9/17/2021,7.5,p,0.35,difesa,per unit,0.05,4.05
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000,8/5/2021,dsmanik,s,12,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.6
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000,8/5/2021,dsmanik,s,12,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.6
0,08/05/2021,DSmanik,CBOE-OPT,SLO,7,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.3500,8/5/2021,dsmanik,s,7,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.35
0,08/05/2021,DSmanik,CBOE-OPT,SLO,10,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.5000,8/5/2021,dsmanik,s,10,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.5
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500,8/5/2021,dsmanik,s,3,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.15
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500,8/5/2021,dsmanik,s,3,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.15
0,08/05/2021,DSmanik,ISE-OPT,SLO,4,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.2000,8/5/2021,dsmanik,s,4,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.2
0,08/05/2021,DSmanik,ISE-OPT,SLO,1,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.0500,8/5/2021,dsmanik,s,1,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.05
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,8/6/2021,dsmanik,b,50,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.5
0,08/06/2021,DSmanik,CBOE-OPT,BYO,17,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8500,8/6/2021,dsmanik,b,17,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.85
0,08/06/2021,DSmanik,CBOE-OPT,BYO,3,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.1500,8/6/2021,dsmanik,b,3,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.15
0,08/06/2021,DSmanik,CBOE-OPT,BYO,16,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8000,8/6/2021,dsmanik,b,16,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.8
0,08/06/2021,DSmanik,CBOE-OPT,BYO,14,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.7000,8/6/2021,dsmanik,b,14,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.7
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,8/6/2021,dsmanik,b,50,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.5
0,08/06/2021,DSmanik,CBOE-OPT,BYO,8,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4000,8/6/2021,dsmanik,b,8,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.4
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500,8/6/2021,dsmanik,b,5,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.25
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500,8/6/2021,dsmanik,b,5,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.25
0,08/06/2021,DSmanik,ISE-OPT,BYO,10,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.5000,8/6/2021,dsmanik,b,10,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.5
0,08/06/2021,DSmanik,CBOE-OPT,BYO,18,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.9000,8/6/2021,dsmanik,b,18,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.9
0,08/06/2021,DSmanik,CBOE-OPT,BYO,43,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.1500,8/6/2021,dsmanik,b,43,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.15
0,08/06/2021,DSmanik,CBOE-OPT,BYO,9,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4500,8/6/2021,dsmanik,b,9,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.45
