Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge
0,08/02/2021,DFilippidis,WEX-SWEEP,SLO,-7,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3500)
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500)
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,-500,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(25.0000)
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,-5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.2500)
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$0.2500
0,08/03/2021,DFilippidis,WEX-BESTX-OPT,BYO,-1,SPAK,SPAK,17/09/2021,$20.00,P,$0.45,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.0500)
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,-20,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.0000)
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,-180,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(9.0000)
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,-68,IPOF,IPOF,17/09/2021,$10.00,C,$0.09,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.4000)
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-261,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(13.0500)
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-29,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.4500)
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000
0,08/05/2021,DSmanik,CBOE-OPT,SLO,7,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.3500
0,08/05/2021,DSmanik,CBOE-OPT,SLO,10,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.5000
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500
0,08/05/2021,DSmanik,ISE-OPT,SLO,4,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.2000
0,08/05/2021,DSmanik,ISE-OPT,SLO,1,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.0500
0,08/05/2021,DFilippidis,WEX-SWEEP,SLO,-261,AGCB,AGCB,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(13.0500)
0,08/05/2021,DFilippidis,WEX-SWEEP,BYO,-473,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(23.6500)
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,17,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8500
0,08/06/2021,DSmanik,CBOE-OPT,BYO,3,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.1500
0,08/06/2021,DSmanik,CBOE-OPT,BYO,16,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,14,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.7000
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,8,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500
0,08/06/2021,DSmanik,ISE-OPT,BYO,10,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.5000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,18,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.9000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,43,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.1500
0,08/06/2021,DSmanik,CBOE-OPT,BYO,9,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4500
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.0500
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.0500
0,08/06/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-110,AGCB,AGCB,15/10/2021,$10.00,C,$0.07,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(5.5000)
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,5,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.7500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,9,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.9500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.65,0,$0.7000
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.6500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$2.1600
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.6200
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,"1,000",GDX,GDX,21/01/2022,$27.00,P,$0.70,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.0500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,6,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.3150
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1575
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525
0,08/09/2021,DFilippidis,WEX-SWEEP,BYO,-320,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(16.0000)
0,08/09/2021,DFilippidis,,SLO,-6,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3000)
0,08/09/2021,DFilippidis,,SLO,-55,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.7500)
0,08/09/2021,DFilippidis,,SLO,6,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.3000
0,08/09/2021,DFilippidis,,SLO,55,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.7500
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-41,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.0500)
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-4,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.2000)
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-182,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(9.1000)
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-20,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.0000)
0,08/09/2021,DFilippidis,,BYO,-55,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.7500)
0,08/09/2021,DFilippidis,,BYO,-6,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3000)
0,08/09/2021,DFilippidis,,BYO,55,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.7500
0,08/09/2021,DFilippidis,,BYO,6,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.3000
